,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset([u'privacy']),frozenset([u'facebook']),0.032819109,0.816599098,0.03071307,0.935828877,1.146007728,0.003913015,2.857997391
1,frozenset([u'twitter']),frozenset([u'facebook']),0.035170852,0.816599098,0.03343337,0.950598802,1.164094848,0.004712884,3.712478866
2,frozenset([u'zuckerberg']),frozenset([u'facebook']),0.254848277,0.816599098,0.228943997,0.898354108,1.100116459,0.020835123,1.804311991
3,frozenset([u'qanon']),frozenset([u'facebook']),0.054406009,0.816599098,0.043244002,0.79483871,0.973352422,-0.001183896,0.893935215
4,"frozenset([u'zuckerberg', u'diamondandsilk'])",frozenset([u'facebook']),0.01725197,0.816599098,0.014163113,0.820956256,1.005335738,7.52E-05,1.02433572
5,"frozenset([u'diamondandsilk', u'facebook'])",frozenset([u'zuckerberg']),0.022324014,0.254848277,0.014163113,0.634433962,2.489457526,0.008473876,2.038350519
6,frozenset([u'trump']),frozenset([u'facebook']),0.026465891,0.816599098,0.019709016,0.74469496,0.911946832,-0.001903007,0.718359897
7,frozenset([u'deletefacebook']),frozenset([u'facebook']),0.024307201,0.816599098,0.019603714,0.806498195,0.987630524,-0.000245525,0.947799438
8,"frozenset([u'zuckerberg', u'qanon'])",frozenset([u'facebook']),0.015830394,0.816599098,0.01347865,0.851441242,1.04266738,0.000551565,1.23453443
9,frozenset([u'google']),frozenset([u'facebook']),0.026711596,0.816599098,0.025904281,0.96977661,1.18757982,0.004091616,6.068177673
10,frozenset([u'zuckerberghearing']),frozenset([u'facebook']),0.013777006,0.816599098,0.013074993,0.949044586,1.162191568,0.001824702,3.599242703
11,frozenset([u'markzuckerberg']),frozenset([u'facebook']),0.086523105,0.816599098,0.079274821,0.916227181,1.122003665,0.008620131,2.189265006
12,frozenset([u'wtfzuck']),frozenset([u'deletefacebok']),0.02479861,0.021411397,0.021376297,0.861995754,40.25873447,0.020845324,7.091003568
13,frozenset([u'deletefacebok']),frozenset([u'wtfzuck']),0.021411397,0.02479861,0.021376297,0.998360656,40.25873447,0.020845324,594.8728479
14,frozenset([u'data']),frozenset([u'facebook']),0.019235157,0.816599098,0.017901332,0.930656934,1.139674213,0.00219392,2.644834062
15,frozenset([u'socialmedia']),frozenset([u'facebook']),0.034240685,0.816599098,0.024307201,0.709892363,0.86932788,-0.003653712,0.632182261
16,frozenset([u'cryptocurrency']),frozenset([u'ico']),0.013864757,0.013408449,0.012688885,0.915189873,68.25471701,0.01250298,11.63294516
17,frozenset([u'ico']),frozenset([u'cryptocurrency']),0.013408449,0.013864757,0.012688885,0.946335079,68.25471701,0.01250298,18.37578843
18,"frozenset([u'zuckerberg', u'facebookdatabreach'])",frozenset([u'facebook']),0.01561979,0.816599098,0.015374085,0.984269663,1.205327884,0.002618979,11.65905735
19,frozenset([u'facebookdatabreach']),frozenset([u'facebook']),0.026571193,0.816599098,0.025798979,0.970937913,1.189001941,0.004100966,6.310658313
20,frozenset([u'diamondandsilk']),frozenset([u'facebook']),0.026027133,0.816599098,0.022324014,0.857720836,1.050357315,0.001070281,1.289021506
21,frozenset([u'diamondandsilk']),frozenset([u'zuckerberg']),0.026027133,0.254848277,0.01725197,0.662845583,2.60094198,0.010619,2.210120009
22,frozenset([u'instagram']),frozenset([u'facebook']),0.020533881,0.816599098,0.019164956,0.933333333,1.142951708,0.002397007,2.751013531
23,frozenset([u'cambridgeanalytica']),frozenset([u'facebook']),0.027396058,0.816599098,0.024745959,0.903267136,1.10613291,0.002374363,1.895952372
24,frozenset([u'greatawakening']),frozenset([u'qanon']),0.013268046,0.054406009,0.012495832,0.941798942,17.31056836,0.01177397,16.24702402
