,city,country,lat,lon
0,Providence,United States,41.8239891,-71.4128343
1,West Meath,Ireland,53.64978435,-6.58852949200994
2,Republic of Croatia,Republic of Croatia,45.5643442,17.0118954
3,Paris,France,48.8566101,2.3514992
4,Pune,India,18.5203062,73.8543185
5,Bishopbriggs,United Kingdom,55.9044088,-4.226358
6,Providence,United States,41.8239891,-71.4128343
7,Hamburg,Deutschland,53.5437641,10.0099133
8,Providence,United States,41.8239891,-71.4128343
9,Birmingham,United Kingdom,52.4776875,-1.8948516
10,Greenwich,United Kingdom,52.0367323,1.168934
11,Melbourne,Australia,-37.8142176,144.9631608
