Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,modularity_class,componentnumber
zuckerberg,zuckerberg,,1371,32979,4,0.519822,0.556703,1529935.103398,0.010247,9609,217,0
facebookdataleaks,facebookdataleaks,,170,2732,4,0.478711,0.490835,30569.048999,0.109085,1567,217,0
facebook,facebook,,8635,103932,4,0.850711,0.913833,48794190.314068,0.000884,32927,217,0
censorship,censorship,,159,1435,4,0.477284,0.48945,53090.541063,0.092668,1164,217,0
palantir,palantir,,23,575,5,0.464259,0.475414,5734.34297,0.300395,76,217,0
cambridgeanalytica,cambridgeanalytica,,337,3953,4,0.485135,0.500768,139749.481994,0.044864,2540,217,0
lovinleeds,lovinleeds,,2,6,7,0.239769,0.241739,0,1,1,1,0
localpubs,localpubs,,5,12,6,0.31537,0.319582,20818,0.4,4,1,0
supportyourlocal,supportyourlocal,,2,6,7,0.239769,0.241739,0,1,1,1,0
markzuckerberg,markzuckerberg,,813,10347,4,0.502704,0.527911,634566.934895,0.018034,5938,217,0
facebookdatabreach,facebookdatabreach,,194,3711,4,0.478161,0.491227,49593.97921,0.095828,1794,217,0
facebookhearing,facebookhearing,,110,977,4,0.472926,0.484648,10302.518266,0.163609,963,217,0
followers,followers,,28,76,5,0.464569,0.475798,10125.305842,0.320106,121,217,0
google,google,,501,5485,4,0.493085,0.511446,235869.792079,0.032922,4107,217,0
aadhaar,aadhaar,,8,38,5,0.463969,0.474725,114.295533,0.607143,17,217,0
mercers,mercers,,29,234,4,0.463659,0.47513,17494.616062,0.270936,110,217,0
myspace,myspace,,68,451,4,0.471214,0.48211,7960.930271,0.175154,399,217,0
zuckerbergtestimony,zuckerbergtestimony,,159,1355,5,0.4745,0.487412,52481.355742,0.092881,1152,217,0
advertisers,advertisers,,14,56,5,0.461951,0.473389,118.780957,0.373626,34,217,0
theresistance,theresistance,,26,63,4,0.464943,0.475971,29455.292157,0.249231,81,142,0
bluewave2018,bluewave2018,,6,6,5,0.320585,0.3243,0,1,15,142,0
resist,resist,,19,67,4,0.464611,0.475523,12392.828922,0.339181,58,22,0
geeksresist,geeksresist,,6,6,5,0.320585,0.3243,0,1,15,142,0
impeachtrump,impeachtrump,,6,6,5,0.320585,0.3243,0,1,15,142,0
trumpcrimefamily,trumpcrimefamily,,6,6,5,0.320585,0.3243,0,1,15,142,0
trumprussia,trumprussia,,52,227,4,0.47049,0.480966,69501.921679,0.232941,297,217,0
this,this,,9,16,5,0.329598,0.334853,713.205628,0.611111,22,217,0
bradparscale,bradparscale,,6,7,5,0.460053,0.471644,10551.72849,0.466667,7,217,0
trump2020campaign,trump2020campaign,,2,2,6,0.315399,0.319454,0,1,1,217,0
india,india,,85,448,4,0.473442,0.484231,17728.869525,0.179552,641,217,0
diamondandsilk,diamondandsilk,,126,3096,4,0.471278,0.483927,69024.937465,0.081548,632,217,0
russia,russia,,208,2568,4,0.4807,0.493476,102656.0556,0.081011,1744,262,0
digitalmarketing,digitalmarketing,,142,1841,5,0.472047,0.485139,91682.357972,0.086105,862,262,0
cryptocurrency,cryptocurrency,,72,2876,4,0.470023,0.48131,75722.212916,0.150235,384,262,0
ban,ban,,15,1220,4,0.464445,0.475267,3947.118924,0.552381,58,262,0
ico,ico,,56,2814,4,0.467112,0.478628,126559.591664,0.166234,256,262,0
privacy,privacy,,527,4667,4,0.494209,0.513007,243943.790629,0.031374,4332,217,0
gizmodo,gizmodo,,1,80,5,0.459687,0.471196,0,0,0,217,0
wallstreet,wallstreet,,10,24,5,0.463082,0.474093,177.057525,0.488889,22,217,0
markets,markets,,22,507,4,0.466484,0.477044,476.298133,0.528139,122,340,0
gun,gun,,9,13,5,0.46097,0.472428,4159.121441,0.5,18,143,0
bp,bp,,9,12,5,0.460317,0.471948,9723.071652,0.416667,15,254,0
tesla,tesla,,19,197,5,0.460317,0.472268,20876.61275,0.269006,46,260,0
antitrust,antitrust,,19,20,5,0.462177,0.473685,13737.819509,0.298246,51,262,0
terrorist,terrorist,,9,10,5,0.461542,0.4729,2210.359335,0.472222,17,262,0
jews,jews,,12,25,5,0.463246,0.474277,7344.014396,0.409091,27,262,0
fakenews,fakenews,,117,882,4,0.47269,0.484664,53222.929652,0.088006,587,217,0
unitedstatesgovernment,unitedstatesgovernment,,4,4,5,0.322282,0.326101,0,1,6,262,0
afp,afp,,6,13,5,0.460399,0.4719,3.667684,0.666667,10,217,0
polls,polls,,19,119,4,0.466945,0.477292,1263.667959,0.473684,81,217,0
social_media,social_media,,22,104,5,0.466046,0.476743,568.504997,0.294372,68,217,0
socialselling,socialselling,,16,105,5,0.465275,0.47599,340.250278,0.466667,56,217,0
