,time
0,2018-04-11 07:35:03
1,2018-04-11 07:35:03
2,2018-04-11 07:35:03
3,2018-04-11 07:35:04
4,2018-04-11 07:35:10
5,2018-04-11 07:35:11
6,2018-04-11 07:35:12
7,2018-04-11 07:35:12
8,2018-04-11 07:35:14
9,2018-04-11 07:35:14
10,2018-04-11 07:35:14
11,2018-04-11 07:35:16
12,2018-04-11 07:35:17
13,2018-04-11 07:35:22
14,2018-04-11 07:35:24
15,2018-04-11 07:35:24
16,2018-04-11 07:35:26
17,2018-04-11 07:35:27
18,2018-04-11 07:35:33
19,2018-04-11 07:35:34
20,2018-04-11 07:35:35
21,2018-04-11 07:35:35
22,2018-04-11 07:35:36
23,2018-04-11 07:35:38
24,2018-04-11 07:35:38
25,2018-04-11 07:35:40
26,2018-04-11 07:35:43
27,2018-04-11 07:35:50
28,2018-04-11 07:35:52
29,2018-04-11 07:35:52
30,2018-04-11 07:35:54
31,2018-04-11 07:35:57
32,2018-04-11 07:36:00
33,2018-04-11 07:36:03
34,2018-04-11 07:36:09
35,2018-04-11 07:36:11
36,2018-04-11 07:36:11
37,2018-04-11 07:36:12
38,2018-04-11 07:36:17
39,2018-04-11 07:36:18
40,2018-04-11 07:36:20
41,2018-04-11 07:36:23
42,2018-04-11 07:36:25
43,2018-04-11 07:36:26
44,2018-04-11 07:36:33
45,2018-04-11 07:36:34
46,2018-04-11 07:36:34
47,2018-04-11 07:36:35
48,2018-04-11 07:36:40
49,2018-04-11 07:36:44
50,2018-04-11 07:36:46
51,2018-04-11 07:36:49
52,2018-04-11 07:36:51
53,2018-04-11 07:36:51
54,2018-04-11 07:36:51
55,2018-04-11 07:36:53
56,2018-04-11 07:36:56
57,2018-04-11 07:36:57
58,2018-04-11 07:37:00
59,2018-04-11 07:37:01
60,2018-04-11 07:37:01
61,2018-04-11 07:37:02
62,2018-04-11 07:37:02
63,2018-04-11 07:37:10
64,2018-04-11 07:37:10
65,2018-04-11 07:37:11
66,2018-04-11 07:37:11
67,2018-04-11 07:37:11
68,2018-04-11 07:37:11
69,2018-04-11 07:37:12
70,2018-04-11 07:37:12
71,2018-04-11 07:37:18
72,2018-04-11 07:37:18
73,2018-04-11 07:37:19
74,2018-04-11 07:37:20
75,2018-04-11 07:37:23
76,2018-04-11 07:37:24
77,2018-04-11 07:37:26
78,2018-04-11 07:37:29
79,2018-04-11 07:37:33
80,2018-04-11 07:37:33
81,2018-04-11 07:37:36
82,2018-04-11 07:37:37
83,2018-04-11 07:37:40
84,2018-04-11 07:37:41
85,2018-04-11 07:37:47
86,2018-04-11 07:37:48
87,2018-04-11 07:37:49
88,2018-04-11 07:37:51
89,2018-04-11 07:37:52
90,2018-04-11 07:37:54
91,2018-04-11 07:37:56
92,2018-04-11 07:37:57
93,2018-04-11 07:37:57
94,2018-04-11 07:37:58
95,2018-04-11 07:38:01
96,2018-04-11 07:38:03
97,2018-04-11 07:38:04
98,2018-04-11 07:38:05
99,2018-04-11 07:38:02
100,2018-04-11 07:38:07
101,2018-04-11 07:38:08
102,2018-04-11 07:38:09
103,2018-04-11 07:38:10
104,2018-04-11 07:38:10
105,2018-04-11 07:38:15
106,2018-04-11 07:38:17
107,2018-04-11 07:38:26
108,2018-04-11 07:38:28
109,2018-04-11 07:38:31
110,2018-04-11 07:38:31
111,2018-04-11 07:38:33
112,2018-04-11 07:38:34
113,2018-04-11 07:38:35
114,2018-04-11 07:38:36
115,2018-04-11 07:38:39
116,2018-04-11 07:38:42
117,2018-04-11 07:38:43
118,2018-04-11 07:38:43
119,2018-04-11 07:38:44
120,2018-04-11 07:38:44
121,2018-04-11 07:38:47
122,2018-04-11 07:38:47
123,2018-04-11 07:38:47
124,2018-04-11 07:38:48
125,2018-04-11 07:38:49
126,2018-04-11 07:38:49
127,2018-04-11 07:38:50
128,2018-04-11 07:38:51
129,2018-04-11 07:38:51
130,2018-04-11 07:38:52
131,2018-04-11 07:38:56
132,2018-04-11 07:38:57
133,2018-04-11 07:38:58
134,2018-04-11 07:39:01
135,2018-04-11 07:39:02
136,2018-04-11 07:39:03
137,2018-04-11 07:39:03
138,2018-04-11 07:39:04
139,2018-04-11 07:39:04
140,2018-04-11 07:39:05
141,2018-04-11 07:39:01
142,2018-04-11 07:39:08
143,2018-04-11 07:39:09
144,2018-04-11 07:39:48
145,2018-04-11 07:39:50
146,2018-04-11 07:39:51
147,2018-04-11 07:39:51
148,2018-04-11 07:39:51
149,2018-04-11 07:39:54
150,2018-04-11 07:39:57
151,2018-04-11 07:39:57
152,2018-04-11 07:39:59
153,2018-04-11 07:39:59
154,2018-04-11 07:40:00
155,2018-04-11 07:40:00
156,2018-04-11 07:40:00
157,2018-04-11 07:40:02
158,2018-04-11 07:40:03
159,2018-04-11 07:40:04
160,2018-04-11 07:40:05
161,2018-04-11 07:40:05
162,2018-04-11 07:40:06
163,2018-04-11 07:40:08
164,2018-04-11 07:40:08
165,2018-04-11 07:40:10
166,2018-04-11 07:40:10
167,2018-04-11 07:40:11
168,2018-04-11 07:40:12
169,2018-04-11 07:40:13
170,2018-04-11 07:40:15
171,2018-04-11 07:40:18
172,2018-04-11 07:40:18
173,2018-04-11 07:40:20
